TERM,DESCRIPTION,PARENT
EatingHabitsLastWeek.foods,,EatingHabits
EatingHabitsLastWeek.numberOfTimes,,EatingHabits
EatingHabitsLastWeek.numberOfTimesPrecise,,EatingHabits
Smoking.hasSmoked,,Smoking
Smoking.hasSmokedRegularly,,Smoking
Smoking.smokingRegularlyAge,,Smoking
Smoking.yearsSmokedRegularly,,Smoking
Smoking.hasSmokedLast12Months,,Smoking
Smoking.yearsSmokedLikeLast12Months,,Smoking
Smoking.smokingLastYearCharacteristic,,Smoking
Smoking.smokingLastYearCharacteristicV1,,Smoking
Smoking.yearLastSmoked,,Smoking
Smoking.monthLastSmoked,,Smoking
Smoking.yearCurrentAmount,,Smoking
Smoking.monthCurrentAmount,,Smoking
Smoking.yearsSmokedLikeUsually,,Smoking
Smoking.majorSmokingPeriodStartingYear,,Smoking
Smoking.majorSmokingPeriodStartingMonth,,Smoking
Smoking.hasUsedChewingTobacco,,Smoking
Smoking.hoursPerDayInSmokyRoom,,Smoking
Smoking.smokeUnitLast12Months,,Smoking
Smoking.smokeUnitUsually,,Smoking
Smoking.smokeUnitLastMonth,,Smoking
Smoking.smokeUnitYearBeforeQuitting,,Smoking
Smoking.smokeUnitbeforeCurrentAmount,,Smoking
Smoking.smokeUnitPackYears,,Smoking
Smoking.smokingStatus,,Smoking
Smoking.yearsSmokedTotal,,Smoking
TobaccoLast12Months.smokeProd,tobacco product,Smoking
TobaccoLast12Months.perDay,Times a day,Smoking
TobaccoLast12Months.perWeek,Times a week,Smoking
TobaccoLast12Months.perMonth,Times a month,Smoking
TobaccoUsually.smokeProd,tobacco product,Smoking
TobaccoUsually.perDay,Times a day,Smoking
TobaccoUsually.perWeek,Times a week,Smoking
TobaccoUsually.perMonth,Times a month,Smoking
TobaccoLastMonth.smokeProd,tobacco product,Smoking
TobaccoLastMonth.perDay,Times a day,Smoking
TobaccoLastMonth.perWeek,Times a week,Smoking
TobaccoLastMonth.perMonth,Times a month,Smoking
TobaccoYearBeforeQuitting.smokeProd,tobacco product,Smoking
TobaccoYearBeforeQuitting.perDay,Times a day,Smoking
TobaccoYearBeforeQuitting.perWeek,Times a week,Smoking
TobaccoYearBeforeQuitting.perMonth,Times a month,Smoking
TobaccoBeforeCurrentAmount.smokeProd,tobacco product,Smoking
TobaccoBeforeCurrentAmount.perDay,Times a day,Smoking
TobaccoBeforeCurrentAmount.perWeek,Times a week,Smoking
TobaccoBeforeCurrentAmount.perMonth,Times a month,Smoking
Alcohol.alcoholConsumptionStatus,,Alcohol
Alcohol.alcoholConsumptionStyle,,Alcohol
Alcohol.hasUsedAlcohol,,Alcohol
Alcohol.ageOfFirstConsumption,,Alcohol
Alcohol.frequencyOfConsumption,,Alcohol
Alcohol.alcoholConsumptionLastYear,,Alcohol
Alcohol.alcoholUnitPerDayLastYear,,Alcohol
Alcohol.yearsUsedAlcoholLikeLastYear,,Alcohol
Alcohol.alcoholUseLastYearCharacteristic,,Alcohol
Alcohol.alcoholUnitPerDayUsually,,Alcohol
Alcohol.yearsUsedAlcoholLikeUsually,,Alcohol
Alcohol.yearsAlcoholUsedTotal,,Alcohol
Alcohol.otherDrugs,,Alcohol
AlcoholUseFrequencyLastYear.drinks,alcohol product,Alcohol
AlcoholUseFrequencyLastYear.perDay,Times a day,Alcohol
AlcoholUseFrequencyLastYear.perWeek,Times a week,Alcohol
AlcoholUseFrequencyLastYear.perMonth,Times a month,Alcohol
AlcoholUseFrequencyLastYear.perYear,Times a year,Alcohol
AlcoholUseFrequencyUsually.drinks,alcohol product,Alcohol
AlcoholUseFrequencyUsually.perDay,Times a day,Alcohol
AlcoholUseFrequencyUsually.perWeek,Times a week,Alcohol
AlcoholUseFrequencyUsually.perMonth,Times a month,Alcohol
AlcoholUseFrequencyUsually.perYear,Times a year,Alcohol
AlcoholUseFrequencyLastMonth.drinks,alcohol product,Alcohol
AlcoholUseFrequencyLastMonth.perDay,Times a day,Alcohol
AlcoholUseFrequencyLastMonth.perWeek,Times a week,Alcohol
AlcoholUseFrequencyLastMonth.perMonth,Times a month,Alcohol
AlcoholUseFrequencyLastMonth.perYear,Times a year,Alcohol
OtherDrugs.hasUsedOtherDrugs,,OtherDrugs
OtherDrugs.usingOtherDrugs,,OtherDrugs
OtherDrugs.otherDrugs,,OtherDrugs
Narcotics.psychoactiveDrugs,,OtherDrugs
Narcotics.usedRegularity,,OtherDrugs
Sleep.workInShiftsLast3Months,,Sleep
SleepWorkdays.bedTime,,Sleep
SleepWorkdays.preparingForSleepTime,,Sleep
SleepWorkdays.minutesToFallAsleep,,Sleep
SleepWorkdays.wakeupTime,,Sleep
SleepWorkdays.wakeupAlarm,,Sleep
SleepWorkdays.minutesToGetUp,,Sleep
SleepWorkdays.timeSpentInDaylight,,Sleep
SleepDaysOff.bedTime,,Sleep
SleepDaysOff.preparingForSleepTime,,Sleep
SleepDaysOff.minutesToFallAsleep,,Sleep
SleepDaysOff.wakeupTime,,Sleep
SleepDaysOff.wakeupAlarm,,Sleep
SleepDaysOff.minutesToGetUp,,Sleep
SleepDaysOff.timeSpentInDaylight,,Sleep
FemaleHealth.menstruationsStarted,,FemaleHealth
FemaleHealth.menstruationStartingAge,,FemaleHealth
FemaleHealth.menstruationStartingAgeV1,,FemaleHealth
FemaleHealth.lengthOfMenstrualCycle,,FemaleHealth
FemaleHealth.lengthOfMenstrualCycleAge25to35,,FemaleHealth
FemaleHealth.howLongUntilMensCycleRegularity,,FemaleHealth
FemaleHealth.hasMenstruationsNow,,FemaleHealth
FemaleHealth.lastMenstruationDate,,FemaleHealth
FemaleHealth.avgCycleLength,,FemaleHealth
FemaleHealth.ageMenstruationsStopped,,FemaleHealth
FemaleHealth.menstruationsStopReason,For what reason did your menstrual cycle end?,FemaleHealth
FemaleHealth.menstruationsStopReasonOther,,FemaleHealth
FemaleHealth.vaginalDischargesLastYear,,FemaleHealth
FemaleHealth.vaginalDischargesCountLastYear,,FemaleHealth
FemaleHealth.numOfMenstrualCyclesLastYear,,FemaleHealth
FemaleHealth.hasBeenPregnant,,FemaleHealth
FemaleHealth.numOfPregnancies,,FemaleHealth
FemaleHealth.numOfLiveBirths,,FemaleHealth
FemaleHealth.numOfMiscarriages,,FemaleHealth
FemaleHealth.numOfAbortions,,FemaleHealth
FemaleHealth.numOfOuteruterinePregnancies,,FemaleHealth
FemaleHealth.numOfStillbirths,,FemaleHealth
FemaleHealth.ageAtFirstPregnancy,,FemaleHealth
FemaleHealth.ageAtLastPregnancy,,FemaleHealth
FemaleHealth.hasHadInVitroFertilisation,,FemaleHealth
FemaleHealth.numOfInVitroFertilisations,,FemaleHealth
FemaleHealth.numOfLiveBirthsFromIvf,,FemaleHealth
FemaleHealth.hasUsedHormonalContraceptives,,FemaleHealth
FemaleHealth.hormonalContraceptiveStartingAge,,FemaleHealth
FemaleHealth.hormonalContraceptivesPauses,,FemaleHealth
FemaleHealth.isUsingHormonalContraceptives,,FemaleHealth
FemaleHealth.hormonalContraceptiveStoppingAge,,FemaleHealth
FemaleHealth.hasUsedHormonalMedDueToMenopause,,FemaleHealth
FemaleHealth.hormonalMedMenopauseStartAge,,FemaleHealth
FemaleHealth.hormonalMedMenopausePauses,,FemaleHealth
FemaleHealth.isUsingHormonalMedDueToMenopause,,FemaleHealth
FemaleHealth.hormonalMedMenopauseStopAge,,FemaleHealth
FemaleHealth.totalNumOfPregnancies,,FemaleHealth
HormonalContraceptiveUsed.code,,FemaleHealth
HormonalContraceptiveUsedV1.code,,FemaleHealth
HormonalMedicationMenopause.code,,FemaleHealth
HormonalMedicationMenopauseV1.code,,FemaleHealth
MotherHealth.menopauseStatus,,MotherHealth
MotherHealth.ageAtMenopauseStarted,,MotherHealth
Health.movement,,Health
Health.selfcare,,Health
Health.commonActivities,,Health
Health.painDiscomfort,,Health
Health.anxietyDepression,,Health
ObjectiveInformation.height,,ObjectiveInformation
ObjectiveInformation.weight,,ObjectiveInformation
ObjectiveInformation.bmi,,ObjectiveInformation
ObjectiveInformation.waist,,ObjectiveInformation
ObjectiveInformation.hip,,ObjectiveInformation
ObjectiveInformation.whr,,ObjectiveInformation
ObjectiveInformation.naturalHairColor,,ObjectiveInformation
ObjectiveInformation.naturalHairColorOther,,ObjectiveInformation
ObjectiveInformation.eyeColor,,ObjectiveInformation
ObjectiveInformation.eyeColorOther,,ObjectiveInformation
ObjectiveInformation.dominatingHand,,ObjectiveInformation
ObjectiveInformation.bloodPressureSystolic,,ObjectiveInformation
ObjectiveInformation.bloodPressureDiastolic,,ObjectiveInformation
ObjectiveInformation.bloodPressureSystolic2,,ObjectiveInformation
ObjectiveInformation.bloodPressureDiastolic2,,ObjectiveInformation
ObjectiveInformation.bloodPressureSystolic3,,ObjectiveInformation
ObjectiveInformation.bloodPressureDiastolic3,,ObjectiveInformation
ObjectiveInformation.bloodPressureMeasuring,,ObjectiveInformation
ObjectiveInformation.pulse,,ObjectiveInformation
ObjectiveInformation.isPulseRegular,,ObjectiveInformation
ObjectiveInformation.pulse1,,ObjectiveInformation
ObjectiveInformation.pulseRadial1,,ObjectiveInformation
ObjectiveInformation.pulse2,,ObjectiveInformation
ObjectiveInformation.pulseRadial2,,ObjectiveInformation
ObjectiveInformation.pulse3,,ObjectiveInformation
ObjectiveInformation.pulseRadial3,,ObjectiveInformation
ObjectiveInformation.deviceNumber,,ObjectiveInformation
ObjectiveInformation.bloodPressureTime,,ObjectiveInformation
ObjectiveInformation.armCircumference,,ObjectiveInformation
ObjectiveInformation.cuffSize,,ObjectiveInformation
ObjectiveInformation.roomTemperature,,ObjectiveInformation
ObjectiveInformation.hadDrinkIn4Hours,,ObjectiveInformation
ObjectiveInformation.lastMeal,,ObjectiveInformation
ObjectiveInformation.lastMealTime,,ObjectiveInformation
ObjectiveInformation.heightMeasurement,,ObjectiveInformation
ObjectiveInformation.weightMeasurement,,ObjectiveInformation
ObjectiveInformation.waistHipMeasurement,,ObjectiveInformation
ObjectiveInformation.ekgPerformed,,ObjectiveInformation
ObjectiveInformation.ekgFindingsNormal,,ObjectiveInformation
ObjectiveInformation.ekgPerformedCurrentVisit,,ObjectiveInformation
ObjectiveInformation.automaticResultNormal,,ObjectiveInformation
ObjectiveInformation.handGripStrengthMeasured,,ObjectiveInformation
ObjectiveInformation.leftHandGrip1,,ObjectiveInformation
ObjectiveInformation.rightHandGrip1,,ObjectiveInformation
ObjectiveInformation.leftHandGrip2,,ObjectiveInformation
ObjectiveInformation.leftHandGrip3,,ObjectiveInformation
ObjectiveInformation.rightHandGrip2,,ObjectiveInformation
ObjectiveInformation.rightHandGrip3,,ObjectiveInformation
ObjectiveInformation.spirometryDone,,ObjectiveInformation
ObjectiveInformation.usedMedicationsTroubleBreathing,,ObjectiveInformation
ObjectiveInformation.asthmaHindranceLastMonth,,ObjectiveInformation
ObjectiveInformation.asthmaTroubleBreathingLastMonth,,ObjectiveInformation
ObjectiveInformation.asthmaNightLastMonth,,ObjectiveInformation
ObjectiveInformation.asthmaMedicationLastMonth,,ObjectiveInformation
ObjectiveInformation.asthmaUnderControlLastMonth,,ObjectiveInformation
ObjectiveInformation.asthmaControlQuestionsAnswered,,ObjectiveInformation
MedicationsForTroubledBreathing.code,,MedicationsForTroubledBreathing
MedicationsForTroubledBreathing.medicineLastTaken,,MedicationsForTroubledBreathing
Diseases.hasHadNoDiseases,,DiseasesDiagnosed
DiseasesDiagnosed.code,,DiseasesDiagnosed
DiseasesDiagnosed.hasThisDiseaseNow,,DiseasesDiagnosed
DiseasesDiagnosed.dateOfDiagnose,,DiseasesDiagnosed
DiseasesDiagnosed.reliabilityOfDiagnose,,DiseasesDiagnosed
MedicationsUsedForDisease.code,,MedicationsUsedForDisease
MedicationsUsedForDisease.drugPackageAndAtcCode,,MedicationsUsedForDisease
MedicationPackagesUsedForDisease.code,,MedicationsUsedForDisease
ConcurrentDiagnoses.code,,DiseasesDiagnosed
Tumors.dateOfDiagnose,,DiseasesDiagnosed
Tumors.hasBeenCured,,DiseasesDiagnosed
Tumors.surgicalCure,,DiseasesDiagnosed
Tumors.radiotherapyCure,,DiseasesDiagnosed
Tumors.medicamentalCure,,DiseasesDiagnosed
Tumors.hormoneTreatmentCure,,DiseasesDiagnosed
Tumors.chemotherapyCure,,DiseasesDiagnosed
Tumors.otherCure,,DiseasesDiagnosed
RespiratoryDiseases.diagnosingDoctor,,DiseasesDiagnosed
RespiratoryDiseases.spirographyPerformed,,DiseasesDiagnosed
RespiratoryDiseases.spirographyFvc,,DiseasesDiagnosed
RespiratoryDiseases.spirographyFev1,,DiseasesDiagnosed
RespiratoryDiseases.spirographyFev1Fvc,,DiseasesDiagnosed
RespiratoryDiseases.spirographyDate,,DiseasesDiagnosed
RespiratoryDiseases.regularlyVisitsDoctor,,DiseasesDiagnosed
RespiratoryDiseases.lastNameOfDoctor,,DiseasesDiagnosed
RespiratoryDiseasesMedications.code,,DiseasesDiagnosed
Ostheoporosis.boneUsDensitrometryPerformed,,DiseasesDiagnosed
Ostheoporosis.boneUsDensitrometryTSector,,DiseasesDiagnosed
Ostheoporosis.boneDxaDensitrometryPerformed,,DiseasesDiagnosed
Ostheoporosis.boneDxaDensitrometryTScore,,DiseasesDiagnosed
Diabetes.dateDiabetesDiagnosed,,DiseasesDiagnosed
Diabetes.glycohemoglobinRate,,DiseasesDiagnosed
Diabetes.glycohemoglobinDate,,DiseasesDiagnosed
Diabetes.insulinOverallAmount,,DiseasesDiagnosed
Diabetes.numOfInjectionsPerDay,,DiseasesDiagnosed
Diabetes.relativesHadType2Diabetes,,DiseasesDiagnosed
Diabetes.numOfRelativesWithType2Diabetes,,DiseasesDiagnosed
DiabetesComplications.code,,DiseasesDiagnosed
DiabetesComplications.reliabilityOfDiagnose,,DiseasesDiagnosed
DiabetesMedications.code,,DiseasesDiagnosed
DiabetesProcedures.code,,DiseasesDiagnosed
VisualDecadence.leftEyeDioptry,,DiseasesDiagnosed
VisualDecadence.rightEyeDioptry,,DiseasesDiagnosed
VisualDecadence.leftEyeVisus,,DiseasesDiagnosed
VisualDecadence.rightEyeVisus,,DiseasesDiagnosed
Hypertension.donorInHypertensionReserach,,DiseasesDiagnosed
Hypertension.dateHypertensionDiagnosed,,DiseasesDiagnosed
Hypertension.bloodPressureSysBeforeTherapy,,DiseasesDiagnosed
Hypertension.bloodPressureDiaBeforeTherapy,,DiseasesDiagnosed
Hypertension.bloodPressureBeforeTherapyDate,,DiseasesDiagnosed
Hypertension.medicationTherapyStartedWith,,DiseasesDiagnosed
Hypertension.hypertensionGroup,,DiseasesDiagnosed
Hypertension.otherMedicationDuringTherapy,,DiseasesDiagnosed
Hypertension.hypertensionDiagnose,,DiseasesDiagnosed
Hypertension.aceInhibitorSensitivity,,DiseasesDiagnosed
Hypertension.bAdrenoblockerSensitivity,,DiseasesDiagnosed
Hypertension.caAntagonistSensitivity,,DiseasesDiagnosed
Hypertension.diureticSensitivity,,DiseasesDiagnosed
HypertensionFirstMedication.bloodPressureSysFirstMedication,,DiseasesDiagnosed
HypertensionFirstMedication.bloodPressureDiaFirstMedication,,DiseasesDiagnosed
HypertensionFirstMedication.bloodPressureFirstMedicationDate,,DiseasesDiagnosed
HypertensionFirstMedication.firstMedicationDose,,DiseasesDiagnosed
HypertensionFirstMedication.firstMedicationHadSideEffects,,DiseasesDiagnosed
FirstMedicationSideEffects.code,,DiseasesDiagnosed
HypertensionSubstituteMedication.wasFirstMedicationSubstituted,,DiseasesDiagnosed
HypertensionSubstituteMedication.firstMedicationSubstitute,,DiseasesDiagnosed
HypertensionSubstituteMedication.bloodPressureSysSubMedication,,DiseasesDiagnosed
HypertensionSubstituteMedication.bloodPressureDiaSubMedication,,DiseasesDiagnosed
HypertensionSubstituteMedication.bloodPressureSubMedicationDate,,DiseasesDiagnosed
HypertensionSubstituteMedication.susbstituteMedicationDose,,DiseasesDiagnosed
HypertensionSubstituteMedication.subMedicationHadSideEffects,,DiseasesDiagnosed
SubstituteMedicationSideEffects.code,,DiseasesDiagnosed
AdditionalMedication1.additionalMedication1Added,,DiseasesDiagnosed
AdditionalMedication1.additionalMedication,,DiseasesDiagnosed
AdditionalMedication1.systolicBloodPressureDiuretic,,DiseasesDiagnosed
AdditionalMedication1.diastolicBloodPressureDiuretic,,DiseasesDiagnosed
AdditionalMedication1.dateMeasuredDiuretic,,DiseasesDiagnosed
AdditionalMedication1.firstMedicationDose,,DiseasesDiagnosed
AdditionalMedication1.doseDiuretic,,DiseasesDiagnosed
AdditionalMedication1.systolicBloodPressureOther,,DiseasesDiagnosed
AdditionalMedication1.diastolicBloodPressureOther,,DiseasesDiagnosed
AdditionalMedication1.dateMeasuredOther,,DiseasesDiagnosed
AdditionalMedication1.doseOther,,DiseasesDiagnosed
SaltUsage.lowSaltBeforeHtDiagnose,,DiseasesDiagnosed
SaltUsage.lowSaltAfterHtDiagnose,,DiseasesDiagnosed
SaltUsage.addsSaltBeforeHtDiagnose,,DiseasesDiagnosed
SaltUsage.addsSaltAfterHtDiagnose,,DiseasesDiagnosed
PsaMeasurements.psaLevelMeasured,,DiseasesDiagnosed
PsaMeasurements.lastPsaLevel,,DiseasesDiagnosed
PsaMeasurements.datePsaLastMeasured,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.echocardiogramPerformed,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.dateEchocardiogramPerformed,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.dateOfLastEcg,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.ejectionFractionPercent,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.leftVentricleHypertrophyPresent,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.cholesterolLevelMeasured,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastCholesterolLevelMeasured,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastCholesterolLevelMeasureDate,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastCholesterolValueOrigin,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastHdlCholesterolLevel,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastHdlCholesterolLevelDate,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastHdlCholesterolValueOrigin,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastLdlCholesterolLevel,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastLdlCholesterolLevelDate,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastLdlCholesterolValueOrigin,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastTriglyceridesLevel,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastTriglyceridesLevelDate,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastTriglyceridesValueOrigin,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.bloodsugarLevelMeasured,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastEmptyStomachBloodsugarLevel,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastEmptyStomachBloodsugarDate,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastEmptyBloodsugarValueOrigin,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastRegularBloodsugarLevel,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastRegularBloodsugarLevelDate,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastRegularBloodsugarValueOrigin,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.creatinineLevelMeasured,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastCreatinineLevel,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastCreatinineLevelDate,,DiseasesDiagnosed
CardiovascularDiseasesAdditional.lastCreatinineValueOrigin,,DiseasesDiagnosed
Psoriasis.donorInPsoriasisResearch,,DiseasesDiagnosed
Psoriasis.psoriasisType,,DiseasesDiagnosed
Psoriasis.psoriasisSeverity,,DiseasesDiagnosed
Psoriasis.hasPsoriaticArthritis,,DiseasesDiagnosed
Psoriasis.timesHospitalisedDueToPsoriasis,,DiseasesDiagnosed
Psoriasis.hasHadPhototherapy,,DiseasesDiagnosed
PsoriaticArthritisType.psorArt,,DiseasesDiagnosed
PsoriaticArthritisType.occurrences,,DiseasesDiagnosed
PsoriaticArthritisType.isMainType,,DiseasesDiagnosed
HypertensionOtherMedication.otherMedication,,DiseasesDiagnosed
AdditionalQuestions.healthState,,AdditionalQuestions
AdditionalQuestions.isPremature,,AdditionalQuestions
RegularMedications.code,,RegularMedications
SideEffectMedications.code,,RegularMedications
SideEffectSymptoms.code,,RegularMedications
SymptomsLastMonth.code,,RegularMedications
SurgicalOperationsPerformed.code,,SurgicalOperationsPerformed
DonorBirthMethods.code,,DonorBirthMethods
Immunomodule.coldFrequency,,Immunomodule
Immunomodule.coldLast,,Immunomodule
Immunomodule.antibacterialTreatment,,Immunomodule
Immunomodule.chronicDisease,,Immunomodule
ChronicDisease.code,,Immunomodule
PlaceOfBirth.country,,PlaceOfBirth
PlaceOfBirth.ehakCounty,,PlaceOfBirth
